10	23	29	33	37	40
9	13	21	25	32	42
11	16	19	21	27	31
14	27	30	31	40	42
16	24	29	40	41	42
14	15	26	27	40	42
2	9	16	25	26	40
8	19	25	34	37	39
2	4	16	17	36	39
9	25	30	33	41	44
1	7	36	37	41	42
2	11	21	25	39	45
22	23	25	37	38	42
2	6	12	31	33	40
3	4	16	30	31	37
6	7	24	37	38	40
3	4	9	17	32	37
3	12	13	19	32	35
6	30	38	39	40	43
10	14	18	20	23	30
6	12	17	18	31	32
4	5	6	8	17	39
5	13	17	18	33	42
7	8	27	29	36	43
2	4	21	26	43	44
4	5	7	18	20	25
1	20	26	28	37	43
9	18	23	25	35	37
1	5	13	34	39	40
8	17	20	35	36	44
7	9	18	23	28	35
6	14	19	25	34	44
4	7	32	33	40	41
9	26	35	37	40	42
2	3	11	26	37	43
1	10	23	26	28	40
7	27	30	33	35	37
16	17	22	30	37	43
6	7	13	15	21	43
7	13	18	19	25	26
13	20	23	35	38	43
17	18	19	21	23	32
6	31	35	38	39	44
3	11	21	30	38	45
1	10	20	27	33	35
8	13	15	23	31	38
14	17	26	31	36	45
6	10	18	26	37	38
4	7	16	19	33	40
2	10	12	15	22	44
2	3	11	16	26	44
2	4	15	16	20	29
7	8	14	32	33	39
1	8	21	27	36	39
17	21	31	37	40	44
10	14	30	31	33	37
7	10	16	25	29	44
10	24	25	33	40	44
6	29	36	39	41	45
2	8	25	36	39	42
14	15	19	30	38	43
3	8	15	27	29	35
3	20	23	36	38	40
14	15	18	21	26	36
4	25	33	36	40	43
2	3	7	17	22	24
3	7	10	15	36	38
10	12	15	16	26	39
5	8	14	15	19	39
5	19	22	25	28	43
5	9	12	16	29	41
2	4	11	17	26	27
3	12	18	32	40	43
6	15	17	18	35	40
2	5	24	32	34	44
1	3	15	22	25	37
2	18	29	32	43	44
10	13	25	29	33	35
3	12	24	27	30	32
17	18	24	25	26	30
5	7	11	13	20	33
1	2	3	14	27	42
6	10	15	17	19	34
16	23	27	34	42	45
6	8	13	23	31	36
2	12	37	39	41	45
4	12	16	23	34	43
1	17	20	24	30	41
4	26	28	29	33	40
17	20	29	35	38	44
1	21	24	26	29	42
3	14	24	33	35	36
6	22	24	36	38	44
5	32	34	40	41	45
8	17	27	31	34	43
1	3	8	21	22	31
6	7	14	15	20	36
6	9	16	23	24	32
1	3	10	27	29	37
1	7	11	23	37	42
1	3	17	32	35	45
17	22	24	26	35	40
5	14	15	27	30	45
17	32	33	34	42	44
8	10	20	34	41	45
4	10	12	22	24	33
1	4	5	6	9	31
7	18	22	23	29	44
1	5	34	36	42	44
7	20	22	23	29	43
7	18	31	33	36	40
26	29	30	33	41	42
4	9	28	33	36	45
11	14	19	26	28	41
1	2	6	9	25	28
2	4	25	31	34	37
5	10	22	34	36	44
3	4	10	17	19	22
3	11	13	14	17	21
4	6	10	11	32	37
12	28	30	34	38	43
1	11	16	17	36	40
7	17	18	28	30	45
4	16	23	25	29	42
2	8	32	33	35	36
7	20	22	27	40	43
3	5	10	29	32	43
12	30	34	36	37	45
19	23	25	28	38	42
7	19	24	27	42	45
8	10	11	14	15	21
3	17	23	34	41	45
4	7	15	18	23	26
3	12	20	23	31	35
6	14	22	28	35	39
2	16	30	36	41	42
7	9	20	25	36	39
10	11	27	28	37	39
9	11	15	20	28	43
3	13	17	18	19	28
8	12	29	31	42	43
12	16	30	34	40	44
26	27	28	42	43	45
4	15	17	26	36	37
2	3	13	20	27	44
2	19	27	35	41	42
4	6	13	21	40	42
21	25	33	34	35	36
2	11	21	34	41	42
2	18	25	28	37	39
1	2	10	13	18	19
1	5	13	26	29	34
